ORIG_ARPT_CDE,DEST_ARPT_CDE,Origin BackBone Category,Dept BackBone Category,Turn Category,Date,ACFT_CAPY_CT,NSTP_MILE_CT,PAX,REV,ASM,RPM
MSP,MDW,Cornerstone,Key Stations,HFLI,1/14/2019,143,349,225,24381,49907,78456
BWI,MCO,Constrained,Others,Acceptable,1/14/2019,175,787,225,24403,137725,177063
BWI,DEN,Constrained,Cornerstone,HFLI,1/14/2019,175,1491,225,24425,260925,335726
PNS,BNA,Key Stations,Gateway,LFHI,1/14/2019,143,391,225,24447,55913,88113
MKE,DCA,Cornerstone,Constrained,HFLI,1/14/2019,143,634,226,24469,90662,142989
IND,FLL,Gateway,Cornerstone,LFHI,1/14/2019,175,1005,226,24491,175875,226847
IAD,DEN,Constrained,Cornerstone,HFLI,1/14/2019,175,1452,226,24513,254100,328010
MDW,ATL,Key Stations,Others,Waste,1/14/2019,143,591,226,24535,84513,133617
ECP,HOU,Others,Key Stations,LFHI,1/14/2019,143,571,226,24557,81653,129200
ATL,FLL,Others,Cornerstone,Acceptable,1/14/2019,143,581,226,24579,83083,131569
ALB,MDW,Key Stations,Key Stations,LFHI,1/14/2019,143,717,227,24601,102531,162498
CLT,BNA,Cornerstone,Gateway,Waste,1/14/2019,143,328,227,24623,46904,74397
CUN,LAX,Cornerstone,Others,Waste,1/14/2019,143,2119,227,24645,303017,481020
GEG,LAS,Others,Key Stations,Waste,1/14/2019,175,806,227,24667,141050,183113
PHL,MCO,Constrained,Others,HFLI,1/14/2019,143,861,227,24689,123123,195766
MCI,OAK,Gateway,Constrained,LFHI,1/14/2019,143,1489,228,24711,212927,338828
RDU,MCO,Others,Others,LFHI,1/14/2019,143,534,228,24733,76362,121612
PHL,MDW,Constrained,Key Stations,Acceptable,1/14/2019,175,668,228,24755,116900,152251
LGB,SJC,Gateway,Gateway,HFLI,1/14/2019,143,324,228,24777,46332,73906
DEN,MEM,Cornerstone,Cornerstone,Acceptable,1/14/2019,143,872,228,24798,124696,199067
ICT,STL,Cornerstone,Others,LFHI,1/14/2019,143,392,228,24820,56056,89561
IAD,DEN,Constrained,Cornerstone,Acceptable,1/14/2019,143,1452,229,24842,207636,332007
TPA,BUF,Others,Key Stations,Waste,1/14/2019,175,1053,229,24864,184275,240967
SAT,FLL,Key Stations,Cornerstone,Waste,1/14/2019,143,1145,229,24886,163735,262230
PDX,SMF,Key Stations,Cornerstone,HFLI,1/14/2019,143,479,229,24908,68497,109789
DEN,PHL,Cornerstone,Constrained,LFHI,1/14/2019,175,1558,229,24930,272650,357388
LAS,MDW,Key Stations,Key Stations,LFHI,1/14/2019,175,1521,230,24952,266175,349179
OAK,ABQ,Constrained,Others,HFLI,1/14/2019,143,889,230,24974,127127,204253
SNA,SMF,Gateway,Cornerstone,HFLI,1/14/2019,143,404,230,24996,57772,92895
MSP,DAL,Cornerstone,Others,HFLI,1/14/2019,143,853,230,25018,121979,196295
STL,ICT,Others,Cornerstone,LFHI,1/14/2019,143,392,230,25040,56056,90280
RSW,MDW,Key Stations,Key Stations,LFHI,1/14/2019,143,1105,230,25062,158015,254691
AUS,PHX,Gateway,Constrained,Waste,1/14/2019,143,872,231,25084,124696,201147
JAX,BNA,Others,Gateway,HFLI,1/14/2019,175,483,231,25106,84525,111504
SAN,OMA,Constrained,Constrained,Waste,1/14/2019,143,1313,231,25128,187759,303356
DAL,LGA,Others,Gateway,HFLI,1/14/2019,143,1381,231,25150,197483,319320
CMH,BOS,Gateway,Others,LFHI,1/14/2019,143,640,231,25172,91520,148101
OAK,SNA,Constrained,Gateway,LFHI,1/14/2019,143,371,232,25194,53053,85920
DAL,ELP,Others,Cornerstone,LFHI,1/14/2019,143,562,232,25216,80366,130257
BWI,PHX,Constrained,Constrained,HFLI,1/14/2019,175,1999,232,25238,349825,463683
JAX,HOU,Others,Key Stations,Acceptable,1/14/2019,175,816,232,25260,142800,189427
AUS,MSY,Gateway,Constrained,Waste,1/14/2019,143,444,232,25282,63492,103152
TPA,HOU,Others,Key Stations,Waste,1/14/2019,143,781,233,25303,111683,181589
ONT,LAS,Cornerstone,Key Stations,LFHI,1/14/2019,143,197,233,25325,28171,45840
ATL,MDW,Others,Key Stations,HFLI,1/14/2019,175,591,233,25347,103425,137629
SEA,OAK,Constrained,Constrained,LFHI,1/14/2019,143,672,233,25369,96096,156615
LAS,ATL,Key Stations,Others,LFHI,1/14/2019,175,1747,233,25391,305725,407474
DCA,STL,Constrained,Others,Waste,1/15/2019,143,719,233,25413,102817,167833
LAX,SMF,Others,Cornerstone,Acceptable,1/15/2019,143,373,234,25435,53339,87136
BWI,MHT,Constrained, ,LFHI,1/15/2019,143,377,234,25457,53911,88140
HOU,DAL,Key Stations,Others,Waste,1/15/2019,143,239,234,25479,34177,55920
BOS,BWI,Others,Constrained,Acceptable,1/15/2019,143,369,234,25501,52767,86405
PHL,BNA,Constrained,Gateway,HFLI,1/15/2019,143,675,234,25523,96525,158182
CMH,BOS,Gateway,Others,Acceptable,1/15/2019,175,640,235,25545,112000,150097
TPA,DAL,Others,Others,Acceptable,1/15/2019,175,917,235,25567,160475,215229
BWI,ROC,Constrained, ,Acceptable,1/15/2019,143,277,235,25589,39611,65066
STL,DAL,Others,Others,Acceptable,1/15/2019,143,546,235,25611,78078,128352
DCA,MKE,Constrained,Cornerstone,Acceptable,1/15/2019,143,634,235,25633,90662,149155
FLL,PIT,Cornerstone,Key Stations,Acceptable,1/15/2019,143,994,235,25655,142142,234032
PHX,ONT,Constrained,Cornerstone,HFLI,1/15/2019,175,325,236,25677,56875,76579
KOA,HNL,Others,Others,LFHI,1/15/2019,175,163,236,25699,28525,38437
BNA,LAX,Gateway,Others,Waste,1/15/2019,143,1797,236,25721,256971,424082
JAX,DEN,Others,Cornerstone,Acceptable,1/15/2019,175,1447,236,25743,253225,341750
BWI,HOU,Constrained,Key Stations,Acceptable,1/15/2019,143,1246,236,25765,178178,294507
BUR,SJC,Key Stations,Gateway,LFHI,1/15/2019,143,296,237,25786,42328,70017
STL,LAS,Others,Key Stations,LFHI,1/15/2019,143,1371,237,25808,196053,324555
DEN,SNA,Cornerstone,Gateway,Acceptable,1/15/2019,143,846,237,25830,120978,200428
LAS,MDW,Key Stations,Key Stations,HFLI,1/15/2019,175,1521,237,25852,266175,360623
LAS,GEG,Key Stations,Others,HFLI,1/15/2019,143,806,237,25874,115258,191247
BNA,DAL,Gateway,Others,Waste,1/15/2019,143,623,237,25896,89089,147939
CUN,HOU,Cornerstone,Key Stations,LFHI,1/15/2019,143,791,238,25918,113113,187978
LIT,LAS,Key Stations,Key Stations,Waste,1/15/2019,175,1294,238,25940,226450,307752
PHL,MDW,Constrained,Key Stations,LFHI,1/15/2019,143,668,238,25962,95524,158993
ATL,PHL,Others,Constrained,HFLI,1/15/2019,143,666,238,25984,95238,158639
SAN,SAT,Constrained,Key Stations,HFLI,1/15/2019,143,1129,238,26006,161447,269131
SJC,ONT,Gateway,Cornerstone,Acceptable,1/15/2019,143,333,239,26028,47619,79442
SJC,SAN,Gateway,Constrained,HFLI,1/15/2019,143,417,239,26050,59631,99558
MDW,SJC,Key Stations,Gateway,Acceptable,1/15/2019,175,1838,239,26072,321650,439155
MSY,DCA,Constrained,Constrained,Waste,1/15/2019,143,969,239,26094,138567,231702
OMA,PHX,Constrained,Constrained,Waste,1/15/2019,143,1037,239,26116,148291,248152
RSW,MDW,Key Stations,Key Stations,HFLI,1/15/2019,143,1105,239,26138,158015,264627
OAK,SNA,Constrained,Gateway,LFHI,1/15/2019,143,371,240,26160,53053,88916
FLL,BZE,Cornerstone,Cornerstone,Acceptable,1/15/2019,143,786,240,26182,112398,188521
BOS,STL,Others,Others,Waste,1/15/2019,143,1047,240,26204,149721,251313
CMH,BWI,Gateway,Constrained,HFLI,1/15/2019,143,337,240,26226,48191,80953
STL,LAS,Others,Key Stations,LFHI,1/15/2019,175,1371,240,26248,239925,329587
DEN,BWI,Cornerstone,Constrained,LFHI,1/15/2019,175,1491,241,26270,260925,358708
MCO,STL,Others,Others,Acceptable,1/15/2019,143,882,241,26291,126126,212355
PBI,BWI,Cornerstone,Constrained,LFHI,1/15/2019,175,883,241,26313,154525,212758
MDW,MCI,Key Stations,Gateway,Waste,1/15/2019,143,405,241,26335,57915,97659
HAV,TPA,Constrained,Others,Waste,1/15/2019,175,343,241,26357,60025,82771
DAL,BHM,Others,Others,LFHI,1/15/2019,143,587,241,26379,83941,141760
PHX,SAN,Constrained,Constrained,LFHI,1/15/2019,143,304,242,26401,43472,73472
SMF,SLC,Cornerstone,Gateway,Acceptable,1/15/2019,143,532,242,26423,76076,128673
CLE,DAL,Gateway,Others,LFHI,1/15/2019,143,1015,242,26445,145145,245681
DEN,GEG,Cornerstone,Others,LFHI,1/15/2019,143,836,242,26467,119548,202507
PIT,STL,Key Stations,Others,LFHI,1/15/2019,143,554,242,26489,79222,134299
PHX,BOI,Constrained,Gateway,Acceptable,1/15/2019,143,735,243,26511,105105,178311
SFO,SAN,Constrained,Constrained,LFHI,1/16/2019,143,447,243,26533,63921,108525
BNA,DTW,Gateway,Key Stations,Acceptable,1/16/2019,143,456,243,26555,65208,110793
LAS,RNO,Key Stations,Others,HFLI,1/16/2019,143,345,243,26577,49335,83887
PHX,HOU,Constrained,Key Stations,LFHI,1/16/2019,175,1020,243,26599,178500,248201
SAN,SJC,Constrained,Gateway,Acceptable,1/16/2019,143,417,244,26621,59631,101547
TPA,HOU,Others,Key Stations,Acceptable,1/16/2019,143,781,244,26643,111683,190331
OMA,PHX,Constrained,Constrained,HFLI,1/16/2019,175,1037,244,26665,181475,252909
BWI,RSW,Constrained,Key Stations,LFHI,1/16/2019,143,919,244,26687,131417,224299
ABQ,SAN,Others,Constrained,Waste,1/16/2019,143,628,244,26709,89804,153390
SFO,SAN,Constrained,Constrained,HFLI,1/16/2019,143,447,244,26731,63921,109263
GEG,DEN,Others,Cornerstone,Waste,1/16/2019,143,836,245,26753,119548,204502
BNA,MCO,Gateway,Others,Waste,1/16/2019,143,616,245,26774,88088,150798
LAS,LAX,Key Stations,Others,HFLI,1/16/2019,143,236,245,26796,33748,57817
SEA,MDW,Constrained,Key Stations,HFLI,1/16/2019,143,1733,245,26818,247819,424879
MKE,LAS,Cornerstone,Key Stations,LFHI,1/16/2019,175,1524,245,26840,266700,373918
FLL,NAS,Cornerstone,Gateway,Acceptable,1/16/2019,143,182,246,26862,26026,44688
PHX,MCI,Constrained,Gateway,Waste,1/16/2019,143,1044,246,26884,149292,256532
PHX,SNA,Constrained,Gateway,HFLI,1/16/2019,143,338,246,26906,48334,83115
BNA,MSY,Gateway,Constrained,Waste,1/16/2019,143,471,246,26928,67353,115907
PHX,LIT,Constrained,Key Stations,LFHI,1/16/2019,175,1136,246,26950,198800,279763
ABQ,DEN,Others,Cornerstone,HFLI,1/16/2019,175,349,246,26972,61075,86012
HOU,DEN,Key Stations,Cornerstone,Waste,1/16/2019,143,883,247,26994,126269,217781
DTW,DAL,Key Stations,Others,LFHI,1/16/2019,143,981,247,27016,140283,242131
SFO,LAX,Constrained,Others,Acceptable,1/16/2019,143,337,247,27038,48191,83241
STL,OKC,Others,Key Stations,HFLI,1/16/2019,143,462,247,27060,66066,114201
CUN,DEN,Cornerstone,Cornerstone,LFHI,1/16/2019,143,1669,247,27082,238667,412863
STL,BOS,Others,Others,Waste,1/16/2019,175,1047,248,27104,183225,259190
MDW,STL,Key Stations,Others,Waste,1/16/2019,143,251,248,27126,35893,62182
PHX,SNA,Constrained,Gateway,LFHI,1/16/2019,143,338,248,27148,48334,83798
OKC,HOU,Key Stations,Key Stations,Waste,1/16/2019,143,419,248,27170,59917,103956
HNL,KOA,Others,Others,Acceptable,1/16/2019,175,163,248,27192,28525,40471
MCO,ISP,Others,Key Stations,Waste,1/16/2019,143,971,248,27214,138853,241267
DCA,FLL,Constrained,Cornerstone,Acceptable,1/16/2019,143,899,249,27236,128557,223542
OAK,LAX,Constrained,Others,Acceptable,1/16/2019,143,337,249,27258,48191,83859
STL,ICT,Others,Cornerstone,HFLI,1/16/2019,143,392,249,27279,56056,97617
LAS,HOU,Key Stations,Key Stations,Waste,1/16/2019,175,1235,249,27301,216125,307770
TPA,BHM,Others,Others,Acceptable,1/16/2019,143,459,249,27323,65637,114470
DAL,MSY,Others,Constrained,Acceptable,1/16/2019,143,436,250,27345,62348,108814
PIT,RSW,Key Stations,Key Stations,Waste,1/16/2019,175,966,250,27367,169050,241265
LAX,OAK,Others,Constrained,Waste,1/16/2019,175,337,250,27389,58975,84230
DAL,ELP,Others,Cornerstone,LFHI,1/16/2019,143,562,250,27411,80366,140570
HOU,BHM,Key Stations,Others,Acceptable,1/16/2019,175,570,250,27433,99750,142675
DEN,BOS,Cornerstone,Others,Acceptable,1/16/2019,143,1754,250,27455,250822,439361
MCO,RDU,Others,Others,LFHI,1/16/2019,143,534,251,27477,76362,133860
PHX,SAN,Constrained,Constrained,Waste,1/16/2019,143,304,251,27499,43472,76261
BNA,ORF,Gateway, ,Acceptable,1/16/2019,175,585,251,27521,102375,146859
OAK,LAX,Constrained,Others,HFLI,1/16/2019,143,337,251,27543,48191,84663
DAL,LAS,Others,Key Stations,Acceptable,1/16/2019,175,1067,251,27565,186725,268253
STL,BNA,Others,Gateway,LFHI,1/16/2019,143,272,252,27587,38896,68433
BOS,HOU,Others,Key Stations,HFLI,1/17/2019,175,1609,252,27609,281575,405107
PVD,BWI,Constrained,Constrained,Acceptable,1/17/2019,143,327,252,27631,46761,82391
LAX,ATL,Others,Others,Waste,1/17/2019,143,1947,252,27653,278421,490922
BWI,BOS,Constrained,Others,Waste,1/17/2019,143,369,252,27675,52767,93108
PVD,BWI,Constrained,Constrained,LFHI,1/17/2019,143,327,253,27697,46761,82571
SLC,MDW,Gateway,Key Stations,HFLI,1/17/2019,143,1259,253,27719,180037,318141
DAL,HOU,Others,Key Stations,LFHI,1/17/2019,143,239,253,27741,34177,60437
PDX,MDW,Key Stations,Key Stations,Waste,1/17/2019,175,1751,253,27762,306425,443108
TPA,MDW,Others,Key Stations,HFLI,1/17/2019,143,997,253,27784,142571,252484
DEN,SLC,Cornerstone,Gateway,Acceptable,1/17/2019,143,391,253,27806,55913,99090
FLL,CUN,Cornerstone,Cornerstone,LFHI,1/17/2019,143,549,254,27828,78507,139232
ELP,PHX,Cornerstone,Constrained,HFLI,1/17/2019,143,347,254,27850,49621,88067
LAS,TUL,Key Stations,Cornerstone,HFLI,1/17/2019,143,1076,254,27872,153868,273280
DEN,SNA,Cornerstone,Gateway,Waste,1/17/2019,143,846,254,27894,120978,215020
LGA,BNA,Gateway,Gateway,Acceptable,1/17/2019,143,764,254,27916,109252,194319
ABQ,LAS,Others,Key Stations,Acceptable,1/17/2019,143,486,255,27938,69498,123701
MDW,DEN,Key Stations,Cornerstone,Acceptable,1/17/2019,143,895,255,27960,127985,227967
AUS,SAN,Gateway,Constrained,LFHI,1/17/2019,175,1164,255,27982,203700,296698
DEN,OAK,Cornerstone,Constrained,Waste,1/17/2019,175,957,255,28004,167475,244110
MDW,CVG,Key Stations, ,HFLI,1/17/2019,143,249,255,28026,35607,63560
MEM,TPA,Cornerstone,Others,HFLI,1/17/2019,143,655,255,28048,93665,167317
PHX,DAL,Constrained,Others,Acceptable,1/17/2019,175,879,256,28070,153825,224698
HOU,RDU,Key Stations,Others,LFHI,1/17/2019,143,1050,256,28092,150150,268603
ONT,MDW,Cornerstone,Key Stations,Acceptable,1/17/2019,175,1706,256,28114,298550,436729
PHX,ELP,Constrained,Cornerstone,HFLI,1/17/2019,143,347,256,28136,49621,88894
LAX,DEN,Others,Cornerstone,LFHI,1/17/2019,143,862,256,28158,123266,220985
LAX,PHX,Others,Constrained,Waste,1/17/2019,143,370,257,28180,52910,94922
MDW,PHX,Key Stations,Constrained,Waste,1/17/2019,175,1444,257,28202,252700,370718
DEN,TPA,Cornerstone,Others,Waste,1/17/2019,143,1506,257,28224,215358,386912
MCO,BWI,Others,Constrained,Acceptable,1/17/2019,175,787,257,28246,137725,202335
MCO,MDW,Others,Key Stations,HFLI,1/17/2019,143,990,257,28267,141570,254708
HOU,ELP,Key Stations,Cornerstone,Acceptable,1/17/2019,143,677,257,28289,96811,174303
DEN,TUS,Cornerstone,Cornerstone,Acceptable,1/17/2019,143,639,258,28311,91377,164637
PHX,ATL,Constrained,Others,HFLI,1/17/2019,175,1587,258,28333,277725,409178
SJC,PDX,Gateway,Key Stations,HFLI,1/17/2019,175,569,258,28355,99575,146810
FLL,BNA,Cornerstone,Gateway,LFHI,1/17/2019,143,793,258,28377,113399,204751
MDW,BWI,Key Stations,Constrained,LFHI,1/17/2019,175,611,258,28399,106925,157871
AUS,BWI,Gateway,Constrained,LFHI,1/17/2019,175,1342,259,28421,234850,346994
AUS,SMF,Gateway,Cornerstone,Acceptable,1/17/2019,175,1481,259,28443,259175,383207
DAL,AUS,Others,Gateway,Waste,1/17/2019,143,189,259,28465,27027,48938
BWI,IND,Constrained,Gateway,Waste,1/17/2019,143,516,259,28487,73788,133704
HOU,SJD,Key Stations,Others,HFLI,1/17/2019,143,1000,259,28509,143000,259299
FLL,PVD,Cornerstone,Constrained,HFLI,1/17/2019,143,1188,259,28531,169884,308265
MSY,LAX,Constrained,Others,HFLI,1/17/2019,143,1670,260,28553,238810,433642
SJC,LAX,Gateway,Others,Acceptable,1/17/2019,143,308,260,28575,44044,80034
DAL,HOU,Others,Key Stations,HFLI,1/17/2019,143,239,260,28597,34177,62148
DTW,STL,Key Stations,Others,HFLI,1/17/2019,143,440,260,28619,62920,114495
AUS,DEN,Gateway,Cornerstone,HFLI,1/17/2019,143,775,260,28641,110825,201810
MSY,MDW,Constrained,Key Stations,Waste,1/17/2019,175,825,261,28663,144375,214981
TUS,LAX,Cornerstone,Others,Acceptable,1/17/2019,143,451,261,28685,64493,117606
STL,OAK,Others,Constrained,Waste,1/17/2019,143,1725,261,28707,246675,450140
LAS,BWI,Key Stations,Constrained,Acceptable,1/18/2019,175,2106,261,28729,368550,549948
FLL,SJU,Cornerstone,Cornerstone,Waste,1/18/2019,175,1046,261,28751,183050,273338
MAF,DAL,Key Stations,Others,HFLI,1/18/2019,143,319,262,28772,45617,83419
BWI,LAX,Constrained,Others,HFLI,1/18/2019,175,2329,262,28794,407575,609463
SAN,PHX,Constrained,Constrained,Acceptable,1/18/2019,143,304,262,28816,43472,79608
LAS,DEN,Key Stations,Cornerstone,Acceptable,1/18/2019,143,628,262,28838,89804,164568
HOU,SJC,Key Stations,Gateway,Waste,1/18/2019,175,1621,262,28860,283675,425083
,PIT, ,Key Stations,HFLI,1/18/2019,143,462,262,28882,66066,121237
,SAN, ,Constrained,Waste,1/18/2019,143,480,263,28904,68640,126049
,LAX, ,Others,Acceptable,1/18/2019,175,1363,263,28926,238525,358177
,PHX, ,Constrained,Waste,1/18/2019,175,1262,263,28948,220850,331867
,MDW, ,Key Stations,HFLI,1/18/2019,175,777,263,28970,135975,204469
BOI,OAK,Gateway,Constrained,Acceptable,1/18/2019,143,512,263,28992,73216,134828
ORF,BWI, ,Constrained,Acceptable,1/18/2019,143,159,264,29014,22737,41900
BDL,MCO,Key Stations,Others,Waste,1/18/2019,143,1050,264,29036,150150,276888
PHX,SMF,Constrained,Cornerstone,Acceptable,1/18/2019,143,647,264,29058,92521,170735
OAK,LAX,Constrained,Others,LFHI,1/18/2019,143,337,264,29080,48191,88992
MCO,FLL,Others,Cornerstone,Acceptable,1/18/2019,143,177,264,29102,25311,46773
ATL,MCO,Others,Others,LFHI,1/18/2019,143,404,264,29124,57772,106833
LAS,BUR,Key Stations,Key Stations,HFLI,1/18/2019,143,223,265,29146,31889,59010
SAN,MSY,Constrained,Constrained,Waste,1/18/2019,175,1599,265,29168,279825,423422
ECP,BNA,Others,Gateway,HFLI,1/18/2019,143,401,265,29190,57343,106260
LAX,SJC,Others,Gateway,Waste,1/18/2019,143,308,265,29212,44044,81673
BWI,TPA,Constrained,Others,LFHI,1/18/2019,143,842,265,29234,120406,223428
SMF,ONT,Cornerstone,Cornerstone,LFHI,1/18/2019,143,390,266,29255,55770,103560
MCO,LAS,Others,Key Stations,Waste,1/18/2019,175,2039,266,29277,356825,541806
LBB,DAL,Constrained,Others,Acceptable,1/18/2019,143,293,266,29299,41899,77910
STL,DEN,Others,Cornerstone,Acceptable,1/18/2019,143,770,266,29321,110110,204888
SJD,DEN,Others,Cornerstone,HFLI,1/18/2019,143,1189,266,29343,170027,316597
SAN,SJC,Constrained,Gateway,HFLI,1/18/2019,143,417,266,29365,59631,111112
SMF,LAS,Cornerstone,Key Stations,HFLI,1/18/2019,143,397,267,29387,56771,105856
TPA,BNA,Others,Gateway,Waste,1/18/2019,143,612,267,29409,87516,163295
SJC,SNA,Gateway,Gateway,Waste,1/18/2019,143,342,267,29431,48906,91316
MDW,BOS,Key Stations,Others,LFHI,1/18/2019,143,861,267,29453,123123,230050
SMF,PDX,Cornerstone,Key Stations,HFLI,1/18/2019,175,479,267,29475,83825,128072
CMH,DEN,Gateway,Cornerstone,Waste,1/18/2019,143,1154,268,29497,165022,308760
MSY,MCI,Constrained,Gateway,Waste,1/18/2019,143,689,268,29519,98527,184473
MCI,LAX,Gateway,Others,Acceptable,1/18/2019,175,1363,268,29541,238525,365180
SAN,OAK,Constrained,Constrained,LFHI,1/18/2019,143,446,268,29563,63778,119576
STL,MCI,Others,Gateway,Waste,1/18/2019,143,237,268,29585,33891,63585
LAS,SJC,Key Stations,Gateway,Waste,1/18/2019,175,386,268,29607,67550,103631
OAK,LAS,Constrained,Key Stations,LFHI,1/18/2019,175,407,269,29629,71225,109344
OAK,LAX,Constrained,Others,HFLI,1/18/2019,143,337,269,29651,48191,90599
LAS,SJC,Key Stations,Gateway,Acceptable,1/18/2019,143,386,269,29673,55198,103843
SJC,ONT,Gateway,Cornerstone,LFHI,1/18/2019,143,333,269,29695,47619,89646
MCO,MSY,Others,Constrained,HFLI,1/18/2019,143,551,269,29717,78793,148435
BUR,PHX,Key Stations,Constrained,Acceptable,1/18/2019,143,369,270,29739,52767,99473
SAN,LAS,Constrained,Key Stations,Acceptable,1/18/2019,143,258,270,29760,36894,69598
SMF,SEA,Cornerstone,Constrained,Waste,1/18/2019,143,605,270,29782,86515,163315
PIT,HOU,Key Stations,Key Stations,HFLI,1/19/2019,175,1131,270,29804,197925,305512
SAT,MDW,Key Stations,Key Stations,Acceptable,1/19/2019,143,1036,270,29826,148148,280040
PHX,RDU,Constrained,Others,Acceptable,1/19/2019,175,1891,270,29848,330925,511501
DEN,MDW,Cornerstone,Key Stations,Waste,1/19/2019,175,895,271,29870,156625,242255
MDW,PVD,Key Stations,Constrained,LFHI,1/19/2019,143,842,271,29892,120406,228064
DAL,AMA,Others,Gateway,Acceptable,1/19/2019,143,323,271,29914,46189,87547
MKE,BWI,Cornerstone,Constrained,HFLI,1/19/2019,143,641,271,29936,91663,173856
MCO,ISP,Others,Key Stations,LFHI,1/19/2019,143,971,271,29958,138853,263539
SJC,PDX,Gateway,Key Stations,Acceptable,1/19/2019,143,569,272,29980,81367,154537
SMF,BOI,Cornerstone,Gateway,HFLI,1/19/2019,143,437,272,30002,62491,118767
DAL,PHX,Others,Constrained,Waste,1/19/2019,175,879,272,30024,153825,239053
LAS,CMH,Key Stations,Gateway,Acceptable,1/19/2019,175,1771,272,30046,309925,481967
FLL,IND,Cornerstone,Gateway,Waste,1/19/2019,175,1005,272,30068,175875,273689
DAL,DEN,Others,Cornerstone,Acceptable,1/19/2019,143,651,273,30090,93093,177405
MDW,CVG,Key Stations, ,HFLI,1/19/2019,143,249,273,30112,35607,67901
SDF,MDW,Gateway,Key Stations,HFLI,1/19/2019,143,271,273,30134,38753,73950
OAK,MDW,Constrained,Key Stations,Acceptable,1/19/2019,175,1844,273,30156,322700,503525
BUR,SJC,Key Stations,Gateway,Acceptable,1/19/2019,143,296,273,30178,42328,80880
SAN,BWI,Constrained,Constrained,Waste,1/19/2019,143,2295,273,30200,328185,627518
PHX,BUF,Constrained,Key Stations,LFHI,1/19/2019,175,,274,30222,0,0
HOU,BWI,Key Stations,Constrained,Waste,1/19/2019,143,,274,30243,0,0
SEA,BWI,Constrained,Constrained,Waste,1/19/2019,175,,274,30265,0,0
MKE,RSW,Cornerstone,Key Stations,Waste,1/19/2019,175,,274,30287,0,0
HNL,LIH,Others,Constrained,LFHI,1/19/2019,175,,274,30309,0,0
FLL,HOU,Cornerstone,Key Stations,Acceptable,1/19/2019,143,,275,30331,0,0
TUS,OAK,Cornerstone,Constrained,Acceptable,1/19/2019,143,,275,30353,0,0
SLC,STL,Gateway,Others,HFLI,1/19/2019,175,,275,30375,0,0
DSM,LAS,Gateway,Key Stations,LFHI,1/19/2019,143,,275,30397,0,0
DEN,STL,Cornerstone,Others,Waste,1/19/2019,143,,275,30419,0,0
BUR,OAK,Key Stations,Constrained,Acceptable,1/19/2019,143,,275,30441,0,0
LAS,RDU,Key Stations,Others,Waste,1/19/2019,143,2026,276,30463,289718,558427
BNA,PNS,Gateway,Key Stations,LFHI,1/19/2019,143,391,276,30485,55913,107843
SMF,ONT,Cornerstone,Cornerstone,LFHI,1/19/2019,143,390,276,30507,55770,107639
BWI,CLE,Constrained,Gateway,Acceptable,1/19/2019,143,314,276,30529,44902,86721
BWI,STL,Constrained,Others,HFLI,1/19/2019,175,738,276,30551,129150,203957
IND,LAS,Gateway,Key Stations,HFLI,1/19/2019,143,1590,277,30573,227370,439711
DAL,PDX,Others,Key Stations,HFLI,1/19/2019,175,1626,277,30595,284550,449965
SEA,SAN,Constrained,Constrained,Acceptable,1/19/2019,143,1050,277,30617,150150,290761
JAX,HOU,Others,Key Stations,LFHI,1/19/2019,143,816,277,30639,116688,226112
LAS,BUR,Key Stations,Key Stations,Acceptable,1/19/2019,143,223,277,30661,31889,61834
MCO,PVD,Others,Constrained,LFHI,1/19/2019,143,1072,277,30683,153296,297443
MCO,SAT,Others,Key Stations,HFLI,1/19/2019,143,1041,278,30705,148863,289032
BUR,SMF,Key Stations,Cornerstone,Acceptable,1/19/2019,143,358,278,30727,51194,99464
AUS,MSY,Gateway,Constrained,LFHI,1/19/2019,143,444,278,30748,63492,123439
MDW,BUF,Key Stations,Key Stations,Acceptable,1/19/2019,143,468,278,30770,66924,130197
DEN,ONT,Cornerstone,Cornerstone,Acceptable,1/19/2019,143,819,278,30792,117117,227996
SAT,BWI,Key Stations,Constrained,Acceptable,1/19/2019,175,1407,279,30814,246225,391943
RNO,LAS,Others,Key Stations,Waste,1/19/2019,143,345,279,30836,49335,96169
FLL,MCO,Cornerstone,Others,Acceptable,1/19/2019,143,177,279,30858,25311,49371
PHX,SJC,Constrained,Gateway,Acceptable,1/19/2019,143,621,279,30880,88803,173332
MDW,SAN,Key Stations,Constrained,LFHI,1/19/2019,175,1728,279,30902,302400,482631
DAL,MSY,Others,Constrained,Acceptable,1/20/2019,143,436,279,30924,62348,121855
MCO,BWI,Others,Constrained,Acceptable,1/20/2019,143,787,280,30946,112541,220098
DAL,ECP,Others,Others,Acceptable,1/20/2019,143,674,280,30968,96382,188619
DEN,SAT,Cornerstone,Key Stations,LFHI,1/20/2019,175,794,280,30990,138950,222347
IND,MCO,Gateway,Others,Acceptable,1/20/2019,143,829,280,31012,118547,232301
OMA,SAN,Constrained,Constrained,LFHI,1/20/2019,143,1313,280,31034,187759,368167
MDW,LAX,Key Stations,Others,Waste,1/20/2019,175,1750,281,31056,306250,491023
BWI,SLC,Constrained,Gateway,HFLI,1/20/2019,143,1865,281,31078,266695,523633
OKC,DAL,Key Stations,Others,HFLI,1/20/2019,,,281,31100,25883,50852
OAK,SEA,Constrained,Constrained,Acceptable,1/20/2019,,,281,31122,117600,188923
